case_id,description,hc,co,co2,o2,nox,lambda_analyser,stft_b1,ltft_b1,stft_b2,ltft_b2,obd_lambda,o2_upstream_classification,o2_downstream_voltage,map,maf,rpm,ect,vehicle_speed,fuel_pressure,dtcs,ff_ect,ff_rpm,ff_load,ff_map,ff_stft_b1,ff_ltft_b1,ff_dtcs,engine_temp,primary_symptom,fuel_type,induction_type,altitude_band,emission_class,mileage_bracket,oil_consumption,ignition_age,bank_config,expected_top_fault,expected_top_fault_family,expected_state,expected_confidence_min,expected_confidence_max,expected_demotion_note_contains,expected_perception_gap,reasoning,hc_2500,co_2500,co2_2500,o2_2500,nox_2500,lambda_2500
YAML-CSV52,ECU_Misfire_Blindness,500.0,0.02,15.5,4.5,10.0,1.2,,,,,1.0,,,,,,,,,,,,,,,,,normal,running_rough,petrol,,,,,,,single,ECU_Misfire_Blindness,misfire,named_fault,0.77,0.97,,true,"HC 500 ppm: real combustion problem (250–800 ppm = lean misfire, vacuum leak, or ignition fault). CO 0.02%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15.5%: at or near the efficient ceiling (≥14.5% with cat). O2 4.5%: severe lean / large misfire / air leak (>4%). NOx 10 ppm: low — rich quench or idle without thermal load. λ 1.2: lean (≥1.05) — Brettschneider chemistry; OBD λ=1 (Δ=+0.20) — ECU sees richer than chemistry, perception-contradiction symptom (rule 7). Pattern: HC↑ + O2↑ + CO≈0 → lean misfire (rule 2): the fuel never lit.",,,,,,
YAML-CSV66,Ghost_Misfire_Electrical_Noise,5.0,0.05,15.5,0.1,20.0,1.0,,,,,1.0,,,,,,,,,P0300,,,,,,,,normal,running_rough,petrol,,,,,,,single,Ghost_Misfire_Electrical_Noise,misfire,named_fault,0.83,0.99,,true,"HC 5 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.05%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15.5%: at or near the efficient ceiling (≥14.5% with cat). O2 0.1%: low — rich consumed the oxygen, or perfect stoich. NOx 20 ppm: low — rich quench or idle without thermal load. λ 1: in the catalyst window (0.97–1.03).",,,,,,
YAML-CSV68,Ghost_Lean_DTC_False_Trigger,10.0,0.08,15.2,0.3,35.0,1.0,,,,,1.0,,,,,,,,,P0171,,,,,,,,normal,,petrol,,,,,,,single,Ghost_Lean_DTC_False_Trigger,lean_condition,named_fault,0.70,0.90,,false,"HC 10 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.08%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15.2%: at or near the efficient ceiling (≥14.5% with cat). O2 0.3%: low — rich consumed the oxygen, or perfect stoich. NOx 35 ppm: low — rich quench or idle without thermal load. λ 1: in the catalyst window (0.97–1.03).",,,,,,
YAML-CSV72,ECU_Internal_Checksum_Error,15.0,0.1,15.0,0.2,25.0,1.0,,,,,1.0,,,,,,,,,P0606,,,,,,,,normal,,petrol,,,,,,,single,ECU_Internal_Checksum_Error,ecu_fault,named_fault,0.85,0.99,,true,"HC 15 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.1%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15%: at or near the efficient ceiling (≥14.5% with cat). O2 0.2%: low — rich consumed the oxygen, or perfect stoich. NOx 25 ppm: low — rich quench or idle without thermal load. λ 1: in the catalyst window (0.97–1.03).",,,,,,
YAML-CSV81,INVALID_INPUT_CO2_OVER_RANGE,0.0,0.01,20.5,0.0,0.0,0.9998,,,,,,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,INVALID_INPUT_CO2_OVER_RANGE,invalid_input,invalid_input,0.0,0.35,,false,CO2 reading exceeds the ~16% theoretical maximum for gasoline (master_gas_guide §6 sanity rail). NDIR bench calibration drift or analyser saturation; recalibrate against reference gas before any diagnosis. All gas channels are suspect until calibration is verified.,,,,,,
YAML-CSV83,INVALID_INPUT_PROBE_IN_OPEN_AIR,0.0,0.0,0.0,21.5,0.0,,,,,,,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,INVALID_INPUT_PROBE_IN_OPEN_AIR,invalid_input,invalid_input,0.0,0.35,,false,"HC ~0, CO ~0, CO2 ~0, O2 ≈ 20.9% (ambient air) — sample is atmospheric; probe is not in the tailpipe. Master_gas_guide §2 O2 rail: 'O2 ≈ 20.9% with HC=0, CO=0, CO2 ≈ 0.04% → no combustion'. The validator must reject this as INVALID before any inference; the open-air sentinel exists to prove probe placement.",,,,,,
YAML-CSV95,Exhaust_Air_Leak_Pre_Cat,20.0,0.1,15.0,6.0,20.0,1.3,,,,,1.0,,,,,,,,,P0171,,,,,,,,normal,,petrol,,,,,,,single,Exhaust_Air_Leak_Pre_Cat,exhaust_leak,warning,0.70,0.90,,true,"HC 20 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.1%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15%: at or near the efficient ceiling (≥14.5% with cat). O2 6%: severe lean / large misfire / air leak (>4%). NOx 20 ppm: low — rich quench or idle without thermal load. λ 1.3: cranking / no-combustion shape (master_gas_guide §3 rule 8 — route to non-starter pipeline); OBD λ=1 (Δ=+0.30) — ECU sees richer than chemistry, perception-contradiction symptom (rule 7). Pattern: CO≈0 + O2↑ + HC normal → exhaust/sample air leak (master_gas_guide §8.1 row 2), not true lean.",,,,,,
YAML-CSV100,Severe_Intake_Restriction,400.0,8.0,8.0,0.1,10.0,0.7,,,,,0.75,,,,,,,,,P0172,,,,,,,,normal,,petrol,,,,,,,single,Severe_Intake_Restriction,invalid_input,invalid_input,0.0,0.35,,false,"HC 400 ppm: real combustion problem (250–800 ppm = lean misfire, vacuum leak, or ignition fault). CO 8%: very rich (>3% — expect concurrent HC rise once rich-misfire threshold is crossed). CO2 8%: severely depressed (<11% — large rich/lean misfire or sample dilution). O2 0.1%: low — rich consumed the oxygen, or perfect stoich. NOx 10 ppm: low — rich quench or idle without thermal load. λ 0.7: rich (≤0.95) — chemistry says excess fuel. Pattern: CO↑ + O2↓ → classic rich (rule 1).",,,,,,
YAML-RULE_CO_1,"CO Rule: IF CO > 0.5% AND λ < 0.98 THEN ""Rich mixture — check fuel delivery (injectors, p",100.0,1.0,13.0,1.0,500.0,1.0,,,,,,,,,,,,,,,,,,,,,,normal,running_rough,petrol,,,,,,,single,misfire,misfire,named_fault,0.65,0.85,,false,HC 100 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 1%: mild rich / pre-cat normal (0.5–1.5%). CO2 13%: healthy without-cat reference (13–14.5%). O2 1%: typical pre-cat residual (0.5–1.5%). NOx 500 ppm: moderate idle/light-load combustion temperature. λ 1: in the catalyst window (0.97–1.03).,,,,,,
YAML-RULE_CO2_1,"CO2 Rule: IF λ ≈ 1.0 AND CO2 < 10% THEN ""Combustion inefficiency — check ignition, compres",100.0,0.5,13.0,9.5,500.0,1.0,,,,,,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,invalid_input,invalid_input,invalid_input,0.0,0.35,,false,HC 100 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 0.5%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 13%: healthy without-cat reference (13–14.5%). O2 9.5%: severe lean / large misfire / air leak (>4%). NOx 500 ppm: moderate idle/light-load combustion temperature. λ 1: in the catalyst window (0.97–1.03).,,,,,,
YAML-RULE_NOx_1,"NOx Rule: IF NOx > 300 ppm AT LOAD AND λ > 1.05 THEN ""Lean mixture — check fuel delivery,",100.0,0.5,13.0,1.0,500.0,1.0,,,,,,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,ecu_fault,ecu_fault,named_fault,0.65,0.85,,false,HC 100 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 0.5%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 13%: healthy without-cat reference (13–14.5%). O2 1%: typical pre-cat residual (0.5–1.5%). NOx 500 ppm: moderate idle/light-load combustion temperature. λ 1: in the catalyst window (0.97–1.03).,,,,,,
YAML-PDF_HI_001,High CO & High HC (Rich Mixture / Over-fueling),650.0,4.0,11.0,0.3,0.0,0.8692,,,,,,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,rich_mixture,rich_mixture,named_fault,0.65,0.85,,false,"HC 650 ppm: real combustion problem (250–800 ppm = lean misfire, vacuum leak, or ignition fault). CO 4%: very rich (>3% — expect concurrent HC rise once rich-misfire threshold is crossed). CO2 11%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 0.3%: low — rich consumed the oxygen, or perfect stoich. NOx 0: 4-gas analyser unmeasured channel (master_gas_guide §8.5: not low-NOx evidence). λ 0.8692: rich (≤0.95) — chemistry says excess fuel. Pattern: CO↑ + O2↓ → classic rich (rule 1).",,,,,,
YAML-PDF_HI_002,High HC & High O2 (Lean Misfire),1000.0,0.3,11.0,4.0,0.0,1.1748,,,,,,,,,,,,,,,,,,,,,,normal,running_rough,petrol,,,,,,,single,misfire,misfire,named_fault,0.65,0.85,,false,"HC 1000 ppm: severe misfire / oil burn / catalyst failure band (>800 ppm). CO 0.3%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 11%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 4%: clearly elevated (1.5–4%) — lean tail or misfire. NOx 0: 4-gas analyser unmeasured channel (master_gas_guide §8.5: not low-NOx evidence). λ 1.1748: lean (≥1.05) — Brettschneider chemistry. Pattern: HC↑ + O2↑ + CO≈0 → lean misfire (rule 2): the fuel never lit.",,,,,,
YAML-PDF_HI_005,The Perfect Modern Pass (High Idle),15.0,0.01,14.8,0.3,0.0,1.001,,,,,,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,no_fault,no_fault,insufficient_evidence,0.0,0.35,,false,"HC 15 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.01%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 14.8%: at or near the efficient ceiling (≥14.5% with cat). O2 0.3%: low — rich consumed the oxygen, or perfect stoich. NOx 0: 4-gas analyser unmeasured channel (master_gas_guide §8.5: not low-NOx evidence). λ 1.001: in the catalyst window (0.97–1.03).",,,,,,
YAML-PDF_HI_006,Faulty Catalytic Converter (Engine Healthy),110.0,0.45,12.5,1.2,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,catalyst_failure,catalyst_failure,named_fault,0.65,0.85,,false,"HC 110 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 0.45%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 12.5%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 1.2%: typical pre-cat residual (0.5–1.5%). NOx 0: 4-gas analyser unmeasured channel (master_gas_guide §8.5: not low-NOx evidence). λ 1: in the catalyst window (0.97–1.03).",,,,,,
YAML-PDF_HI_007,High Lambda with Low CO/HC (Exhaust Leak / False Air),20.0,0.02,11.0,3.5,0.0,1.052,,,,,,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,invalid_input,invalid_input,invalid_input,0.0,0.35,,false,"HC 20 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.02%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 11%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 3.5%: clearly elevated (1.5–4%) — lean tail or misfire. NOx 0: 4-gas analyser unmeasured channel (master_gas_guide §8.5: not low-NOx evidence). λ 1.052: lean (≥1.05) — Brettschneider chemistry. Pattern: CO≈0 + O2↑ + HC normal → exhaust/sample air leak (master_gas_guide §8.1 row 2), not true lean.",,,,,,
YAML-PDF_HI_008,Ignition Misfire at High RPM,600.0,0.15,9.5,4.0,0.0,1.04,,,,,,,,,,,,,,,,,,,,,,normal,running_rough,petrol,,,,,,,single,invalid_input,invalid_input,invalid_input,0.0,0.35,,false,"HC 600 ppm: real combustion problem (250–800 ppm = lean misfire, vacuum leak, or ignition fault). CO 0.15%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 9.5%: severely depressed (<11% — large rich/lean misfire or sample dilution). O2 4%: clearly elevated (1.5–4%) — lean tail or misfire. NOx 0: 4-gas analyser unmeasured channel (master_gas_guide §8.5: not low-NOx evidence). λ 1.04: borderline lean (1.03–1.05). Pattern: HC↑ + O2↑ + CO≈0 → lean misfire (rule 2): the fuel never lit.",,,,,,
YAML-PDF_HI_010,Good Baseline Reference,30.0,0.12,14.0,0.5,300.0,1.01,,,,,,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,no_fault,no_fault,insufficient_evidence,0.0,0.35,,false,HC 30 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.12%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 14%: healthy without-cat reference (13–14.5%). O2 0.5%: typical pre-cat residual (0.5–1.5%). NOx 300 ppm: moderate idle/light-load combustion temperature. λ 1.01: in the catalyst window (0.97–1.03).,,,,,,
YAML-PDF_4G_01,Preconditioning - Catalyst Out,82.0,0.6,15.2,0.5,0.0,1.008843537414966,,,,,,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,catalyst_failure,catalyst_failure,named_fault,0.65,0.85,,false,HC 82 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 0.6%: mild rich / pre-cat normal (0.5–1.5%). CO2 15.2%: at or near the efficient ceiling (≥14.5% with cat). O2 0.5%: typical pre-cat residual (0.5–1.5%). NOx 0: 4-gas analyser unmeasured channel (master_gas_guide §8.5: not low-NOx evidence). λ 1.00884: in the catalyst window (0.97–1.03).,,,,,,
YAML-PDF_4G_02,High CO and HC with Regular Misfire (Warm Idle),425.0,5.63,10.0,2.3,0.0,0.9198,,,,,,,,,,,,,,,,,,,,,,normal,running_rough,petrol,,,,,,,single,misfire,misfire,named_fault,0.65,0.85,,false,"HC 425 ppm: real combustion problem (250–800 ppm = lean misfire, vacuum leak, or ignition fault). CO 5.63%: very rich (>3% — expect concurrent HC rise once rich-misfire threshold is crossed). CO2 10%: severely depressed (<11% — large rich/lean misfire or sample dilution). O2 2.3%: elevated alongside high CO — rich-misfire fingerprint (fuel dumped, never lit). NOx 0: 4-gas analyser unmeasured channel (master_gas_guide §8.5: not low-NOx evidence). λ 0.9198: rich (≤0.95) — chemistry says excess fuel. Pattern: HC↑ + O2↑ + CO↑ → rich misfire (rule 3): fuel dumped, partial burn.",,,,,,
YAML-PDF_4G_03,Rich Mixture - High CO (Not Quite Misfire),85.0,2.9,11.5,0.8,0.0,0.9445,,,,,,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,rich_mixture,rich_mixture,named_fault,0.65,0.85,,false,"HC 85 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 2.9%: clear rich (1.5–3% — combustion ran out of oxygen). CO2 11.5%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 0.8%: typical pre-cat residual (0.5–1.5%). NOx 0: 4-gas analyser unmeasured channel (master_gas_guide §8.5: not low-NOx evidence). λ 0.9445: rich (≤0.95) — chemistry says excess fuel. Pattern: CO↑ + O2↓ → classic rich (rule 1).",,,,,,
YAML-PDF_4G_04,4-Gas Dead Hole - Ignition Wire Failure,1257.0,0.49,10.0,3.5,0.0,1.1325,,,,,,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,misfire,misfire,named_fault,0.65,0.85,,false,HC 1257 ppm: severe misfire / oil burn / catalyst failure band (>800 ppm). CO 0.49%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 10%: severely depressed (<11% — large rich/lean misfire or sample dilution). O2 3.5%: clearly elevated (1.5–4%) — lean tail or misfire. NOx 0: 4-gas analyser unmeasured channel (master_gas_guide §8.5: not low-NOx evidence). λ 1.1325: lean (≥1.05) — Brettschneider chemistry. Pattern: HC↑ + O2↑ + CO≈0 → lean misfire (rule 2): the fuel never lit.,,,,,,
YAML-PDF_4G_05,Dead Hole / Dead Injector / Catalyst Lit,55.0,0.02,15.8,0.0,0.0,0.9974,,,,,,,,,,,,,,,,,,,,,,normal,running_rough,petrol,,,,,,,single,misfire,misfire,named_fault,0.65,0.85,,false,"HC 55 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 0.02%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15.8%: at or near the efficient ceiling (≥14.5% with cat). O2 0%: low — rich consumed the oxygen, or perfect stoich. NOx 0: 4-gas analyser unmeasured channel (master_gas_guide §8.5: not low-NOx evidence). λ 0.9974: in the catalyst window (0.97–1.03).",,,,,,
CSV-101,One-cylinder dead; HC>400 O2>3 P0301; trims slightly long correction,650,0.3,12.5,3.5,30,1.1,8,4,,,1.1,,,,,,,,,P0301,,,,,,,,normal,running_rough,petrol,,,,,,,single,Misfire_Physical_Single_Cylinder,misfire,named_fault,0.77,0.97,,false,"HC 650 ppm: real combustion problem (250–800 ppm = lean misfire, vacuum leak, or ignition fault). CO 0.3%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 12.5%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 3.5%: clearly elevated (1.5–4%) — lean tail or misfire. NOx 30 ppm: low — rich quench or idle without thermal load. λ 1.1: lean (≥1.05) — Brettschneider chemistry. Pattern: HC↑ + O2↑ + CO≈0 → lean misfire (rule 2): the fuel never lit.",,,,,,
CSV-102,Cyl-3 misfire; ignition coil fail; classic single-cyl signature,800,0.4,12.0,3.8,25,1.12,10,6,,,1.12,,,,,,,,,P0303,,,,,,,,normal,running_rough,petrol,,,,,,,single,Misfire_Physical_Single_Cylinder,misfire,named_fault,0.77,0.97,,false,"HC 800 ppm: real combustion problem (250–800 ppm = lean misfire, vacuum leak, or ignition fault). CO 0.4%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 12%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 3.8%: clearly elevated (1.5–4%) — lean tail or misfire. NOx 25 ppm: low — rich quench or idle without thermal load. λ 1.12: lean (≥1.05) — Brettschneider chemistry. Pattern: HC↑ + O2↑ + CO≈0 → lean misfire (rule 2): the fuel never lit.",,,,,,
CSV-103,Random multi-cyl misfire; HC>1k + O2>5 = severe ignition fault,1200,0.5,10.5,5.5,18,1.22,15,8,,,1.2,,,,,,,,,P0300,,,,,,,,normal,running_rough,petrol,,,,,,,single,Misfire_Physical_Multi_Cylinder,misfire,named_fault,0.78,0.98,,false,HC 1200 ppm: severe misfire / oil burn / catalyst failure band (>800 ppm). CO 0.5%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 10.5%: severely depressed (<11% — large rich/lean misfire or sample dilution). O2 5.5%: severe lean / large misfire / air leak (>4%). NOx 18 ppm: low — rich quench or idle without thermal load. λ 1.22: lean (≥1.05) — Brettschneider chemistry.,,,,,,
CSV-104,Multi-cyl misfire under load; coil pack failure,1500,0.6,9.8,6.0,12,1.27,18,10,,,1.25,,,,,,,,,P0300,,,,,,,,normal,running_rough,petrol,,,,,,,single,Misfire_Physical_Multi_Cylinder,misfire,named_fault,0.80,0.99,,false,HC 1500 ppm: severe misfire / oil burn / catalyst failure band (>800 ppm). CO 0.6%: mild rich / pre-cat normal (0.5–1.5%). CO2 9.8%: severely depressed (<11% — large rich/lean misfire or sample dilution). O2 6%: severe lean / large misfire / air leak (>4%). NOx 12 ppm: low — rich quench or idle without thermal load. λ 1.27: lean (≥1.05) — Brettschneider chemistry.,,,,,,
CSV-105,Misfire visible in gas (HC+O2) but ECU misfire counter=0; CKP tooth wear,450,0.05,13.5,3.2,22,1.12,0,0,,,1.0,,,,,,,,,,,,,,,,,normal,running_rough,petrol,,,,,,,single,Misfire_ECU_Blind,misfire,named_fault,0.75,0.95,,true,"HC 450 ppm: real combustion problem (250–800 ppm = lean misfire, vacuum leak, or ignition fault). CO 0.05%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 13.5%: healthy without-cat reference (13–14.5%). O2 3.2%: clearly elevated (1.5–4%) — lean tail or misfire. NOx 22 ppm: low — rich quench or idle without thermal load. λ 1.12: lean (≥1.05) — Brettschneider chemistry; OBD λ=1 (Δ=+0.12) — ECU sees richer than chemistry, perception-contradiction symptom (rule 7). Pattern: HC↑ + O2↑ + CO≈0 → lean misfire (rule 2): the fuel never lit.",,,,,,
CSV-106,Gas-evident misfire; ECU blind; reluctor-ring corrosion suspected,380,0.08,13.0,3.5,18,1.13,0,0,,,1.0,,,,,,,,,,,,,,,,,normal,running_rough,petrol,,,,,,,single,Misfire_ECU_Blind,misfire,named_fault,0.75,0.95,,true,"HC 380 ppm: real combustion problem (250–800 ppm = lean misfire, vacuum leak, or ignition fault). CO 0.08%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 13%: healthy without-cat reference (13–14.5%). O2 3.5%: clearly elevated (1.5–4%) — lean tail or misfire. NOx 18 ppm: low — rich quench or idle without thermal load. λ 1.13: lean (≥1.05) — Brettschneider chemistry; OBD λ=1 (Δ=+0.13) — ECU sees richer than chemistry, perception-contradiction symptom (rule 7). Pattern: HC↑ + O2↑ + CO≈0 → lean misfire (rule 2): the fuel never lit.",,,,,,
CSV-107,Perfect gas; P0300 + 70 misfire counts = alternator ripple ghost,8,0.06,15.4,0.15,25,1.0,0,1,,,1.0,,,,,,,,,P0300,,,,,,,,normal,running_rough,petrol,,,,,,,single,Misfire_Ghost,misfire,named_fault,0.83,0.99,,false,"HC 8 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.06%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15.4%: at or near the efficient ceiling (≥14.5% with cat). O2 0.15%: low — rich consumed the oxygen, or perfect stoich. NOx 25 ppm: low — rich quench or idle without thermal load. λ 1: in the catalyst window (0.97–1.03).",,,,,,
CSV-108,Pristine combustion; ECU hallucinating misfires; loose engine ground,6,0.04,15.5,0.1,22,1.0,-1,0,,,1.0,,,,,,,,,P0300,,,,,,,,normal,running_rough,petrol,,,,,,,single,Misfire_Ghost,misfire,named_fault,0.83,0.99,,false,"HC 6 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.04%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15.5%: at or near the efficient ceiling (≥14.5% with cat). O2 0.1%: low — rich consumed the oxygen, or perfect stoich. NOx 22 ppm: low — rich quench or idle without thermal load. λ 1: in the catalyst window (0.97–1.03).",,,,,,
CSV-109,Lean at idle only; trims clear at 2500rpm; PCV vacuum hose split,80,0.05,12.0,3.5,250,1.18,18,12,,,1.15,,,,,,,,,P0171,,,,,,,,normal,,petrol,,,,,,,single,Vacuum_Leak_Idle_Only,lean_condition,named_fault,0.73,0.93,,false,"HC 80 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 0.05%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 12%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 3.5%: clearly elevated (1.5–4%) — lean tail or misfire. NOx 250 ppm: moderate idle/light-load combustion temperature. λ 1.18: lean (≥1.05) — Brettschneider chemistry. Pattern: CO≈0 + O2↑ + HC normal → exhaust/sample air leak (master_gas_guide §8.1 row 2), not true lean.",,,,,,
CSV-110,Idle-only vacuum leak; intake manifold gasket; trims normal at speed,95,0.04,11.8,4.0,280,1.2,20,14,,,1.17,,,,,,,,,P0171,,,,,,,,normal,,petrol,,,,,,,single,Vacuum_Leak_Idle_Only,lean_condition,named_fault,0.73,0.93,,false,"HC 95 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 0.04%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 11.8%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 4%: clearly elevated (1.5–4%) — lean tail or misfire. NOx 280 ppm: moderate idle/light-load combustion temperature. λ 1.2: lean (≥1.05) — Brettschneider chemistry. Pattern: CO≈0 + O2↑ + HC normal → exhaust/sample air leak (master_gas_guide §8.1 row 2), not true lean.",,,,,,
CSV-111,Idle perfect; 2500rpm lean: failing fuel pump; high-load lean,60,0.1,13.0,2.8,180,1.13,15,10,,,1.12,,,,,,,,,P0174,,,,,,,,normal,,petrol,,,,,,,dual,Fuel_Delivery_Lean_High_RPM,lean_condition,named_fault,0.70,0.90,,false,"HC 60 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 0.1%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 13%: healthy without-cat reference (13–14.5%). O2 2.8%: clearly elevated (1.5–4%) — lean tail or misfire. NOx 180 ppm: moderate idle/light-load combustion temperature. λ 1.13: lean (≥1.05) — Brettschneider chemistry. Pattern: CO≈0 + O2↑ + HC normal → exhaust/sample air leak (master_gas_guide §8.1 row 2), not true lean.",,,,,,
CSV-112,Restricted fuel filter; lean only under load; idle stoich ok,75,0.08,12.8,3.0,220,1.14,18,12,,,1.13,,,,,,,,,P0171,,,,,,,,normal,,petrol,,,,,,,single,Fuel_Delivery_Lean_High_RPM,lean_condition,named_fault,0.70,0.90,,false,"HC 75 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 0.08%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 12.8%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 3%: clearly elevated (1.5–4%) — lean tail or misfire. NOx 220 ppm: moderate idle/light-load combustion temperature. λ 1.14: lean (≥1.05) — Brettschneider chemistry. Pattern: CO≈0 + O2↑ + HC normal → exhaust/sample air leak (master_gas_guide §8.1 row 2), not true lean.",,,,,,
CSV-113,EGR stuck open; HC>>1500; NOx<15ppm key discriminator; stoich λ,1700,2.3,12.4,2.65,12,0.99,-2,0,,,0.99,,,,,,,,,P0401,,,,,,,,normal,,petrol,,,,,,,single,EGR_Stuck_Open_Idle,lean_condition,named_fault,0.80,0.99,,false,"HC 1700 ppm: severe misfire / oil burn / catalyst failure band (>800 ppm). CO 2.3%: clear rich (1.5–3% — combustion ran out of oxygen). CO2 12.4%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 2.65%: elevated alongside high CO — rich-misfire fingerprint (fuel dumped, never lit). NOx 12 ppm: low — rich quench or idle without thermal load. λ 0.99: in the catalyst window (0.97–1.03). Pattern: HC↑ + O2↑ + CO↑ → rich misfire (rule 3): fuel dumped, partial burn.",,,,,,
CSV-114,EGR valve seized open; rough idle; NOx near zero,1850,2.5,12.2,2.85,8,0.99,-3,-1,,,0.99,,,,,,,,,P0401,,,,,,,,normal,running_rough,petrol,,,,,,,single,EGR_Stuck_Open_Idle,lean_condition,named_fault,0.80,0.99,,false,"HC 1850 ppm: severe misfire / oil burn / catalyst failure band (>800 ppm). CO 2.5%: clear rich (1.5–3% — combustion ran out of oxygen). CO2 12.2%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 2.85%: elevated alongside high CO — rich-misfire fingerprint (fuel dumped, never lit). NOx 8 ppm: low — rich quench or idle without thermal load. λ 0.99: in the catalyst window (0.97–1.03). Pattern: HC↑ + O2↑ + CO↑ → rich misfire (rule 3): fuel dumped, partial burn.",,,,,,
